URI,streams,title,date,artist,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,time_signature,popularity,duration_min,tempo_norm
60ynsPSSKe6O3sfwRnIBRf,164550403.0,Streets,2021-12-31,Doja Cat,"['dance pop', 'pop']",0.749,0.463,11,-8.433,1,0.0842,0.21,0.0382,0.338,0.189,4,0.88,3.7831166666666665,0.2948771938149099
6HU7h9RYOaPRFeh0R3UeAr,158512099.0,deja vu,2021-12-31,Olivia Rodrigo,['pop'],0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,4,0.9,3.5917833333333333,0.8339195368893055
67BtfxlNbhBmCDR2L2l8qd,157253788.0,MONTERO (Call Me By Your Name),2021-09-16,Lil Nas X,"['lgbtq+ hip hop', 'pop']",0.61,0.508,8,-6.682,0,0.152,0.297,0.0,0.384,0.758,4,0.85,2.2979333333333334,0.821469878231781
2QjOHCTQ1Jl3zawyYOpxh6,157038256.0,Sweater Weather,2021-12-31,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,4,0.93,4.006666666666667,0.4966458875794043
3DarAbFujv6eYNliUTyqtz,155328235.0,Kiss Me More (feat. SZA),2021-12-31,Doja Cat,"['dance pop', 'pop']",0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,4,0.88,3.477783333333333,0.419047562559683
4MzXwWMhyBbmu6hOcLVD49,150945665.0,DÃÂKITI,2021-12-31,"Bad Bunny, Jhay Cortez","['latin', 'reggaeton', 'trap latino']",0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,4,0.87,3.4181666666666666,0.4128672174805307
3FAJ6O0NOHQV8Mc5Ri6ENp,150860547.0,Heartbreak Anniversary,2021-12-31,Giveon,"['pop', 'r&b']",0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,3,0.87,3.3061833333333333,0.2892543846642032
7MAibcTli4IisCtbHKrGMh,148028226.0,Leave The Door Open,2021-11-11,"Bruno Mars, Anderson .Paak, Silk Sonic","['dance pop', 'pop']",0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,4,0.87,4.034933333333333,0.6392030794963196
3Vi5XqYrmQgOYBajMWSvCi,147600049.0,Need to Know,2021-12-31,Doja Cat,"['dance pop', 'pop']",0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,4,0.93,3.509333333333333,0.5321621124680455
5QO79kh1waicV47BqGRL3g,145796755.0,Save Your Tears,2021-12-31,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,4,0.9,3.5937833333333336,0.4610466254248246
6tDDoYIxWvMLTdKpjFkc1B,145027902.0,telepatÃÂ­a,2021-12-31,Kali Uchis,"['colombian pop', 'dance pop', 'pop', 'r&b']",0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,4,0.87,2.66985,0.2589042639636059
1M4OcYkxAtu3ErzSgDEfoi,138326926.0,Up,2021-12-31,Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']",0.868,0.795,11,-6.044,1,0.269,0.0012,0.0193,0.0461,0.819,4,0.77,2.61575,0.7454433300316134
7kDUspsoYfLkWnZR7qwHZl,131258025.0,my ex's best friend (with blackbear),2021-12-31,Machine Gun Kelly,"['ohio hip hop', 'pop rap']",0.731,0.675,5,-5.134,0,0.0434,0.00473,0.0,0.141,0.298,4,0.84,2.32435,0.5019009602666682
7hxHWCCAIIxFLCzvDgnQHX,127762602.0,"Lemonade (feat. Gunna, Don Toliver & NAV)",2021-12-31,Internet Money,"['rap', 'trap']",0.8,0.658,1,-6.142,0,0.079,0.25,0.0,0.111,0.462,4,0.82,3.25715,0.5914803765146888
1VLtjHwRWOVJiE5Py7JxoQ,126765323.0,Martin & Gina,2021-12-31,Polo G,['chicago rap'],0.832,0.534,1,-7.813,0,0.253,0.345,0.0,0.165,0.116,4,0.86,2.213883333333333,0.3179437600460264
5Z9KJZvQzH6PFmb8SNkxuk,125307670.0,INDUSTRY BABY (feat. Jack Harlow),2021-12-31,Lil Nas X,"['lgbtq+ hip hop', 'pop']",0.741,0.691,10,-7.395,0,0.0672,0.0221,0.0,0.0476,0.892,4,0.9,3.5392166666666665,0.6510596148257106
18vXApRmJSgQ6wG2ll9AOg,123178204.0,RAPSTAR,2021-12-31,Polo G,['chicago rap'],0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,4,0.82,2.765433333333333,0.2415198192160096
62vpWI1CHwFy7tMIcSStl8,122571782.0,No Role Modelz,2021-12-31,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.692,0.521,10,-8.465,0,0.33,0.301,0.0,0.0565,0.463,4,0.69,4.883116666666667,0.3566509884400263
27OeeYzk6klgBh83TSvGMA,121705826.0,WITHOUT YOU,2021-10-17,The Kid LAROI,['australian hip hop'],0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,4,0.85,2.68975,0.3124929566604784
0RiRZpuVRbi7oqRdSMwhQY,121477090.0,Sunflower - Spider-Man: Into the Spider-Verse,2021-12-31,"Post Malone, Swae Lee","['dfw rap', 'melodic rap', 'rap']",0.755,0.522,2,-4.368,1,0.0575,0.533,0.0,0.0685,0.925,4,0.83,2.626,0.2944323513188097
4VXIryQMWpIdGgYR4TrjT1,121105907.0,All Girls Are The Same,2021-12-31,Juice WRLD,"['chicago rap', 'melodic rap']",0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,4,0.87,2.7636666666666665,0.7216531533401741
2BcMwX1MPV6ZHP4tUT9uq6,119876876.0,Knife Talk (with 21 Savage ft. Project Pat),2021-12-31,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.849,0.424,5,-9.579,0,0.324,0.0635,0.0,0.0834,0.153,4,0.89,4.049433333333333,0.6261484350440988
21jGcNKet2qwijlDFuPiPb,118322570.0,Circles,2021-12-31,Post Malone,"['dfw rap', 'melodic rap', 'rap']",0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,4,0.88,3.588,0.4728557108879649
5wANPM4fQCJwkGd4rN57mH,118271054.0,drivers license,2021-12-31,Olivia Rodrigo,['pop'],0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,4,0.92,4.03355,0.6142147936820503
0k1WUmIRnG3xU6fvvDVfRG,117445119.0,Way 2 Sexy (with Future & Young Thug),2021-12-31,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,4,0.88,4.293416666666666,0.5675537814577786
285pBltuF7vW8TeWk8hdRR,117313812.0,Lucid Dreams,2021-12-31,Juice WRLD,"['chicago rap', 'melodic rap']",0.511,0.566,6,-7.23,0,0.2,0.349,0.0,0.34,0.218,4,0.88,3.9972666666666665,0.2585068713337564
2U5WueTLIK5WJLD7mvDODv,115591836.0,Wishing Well,2021-12-31,Juice WRLD,"['chicago rap', 'melodic rap']",0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,4,0.85,3.2436833333333333,0.6503775229983572
2Y0wPrPQBrGhoLn14xRYCG,114906975.0,Come & Go (with Marshmello),2021-12-31,Juice WRLD,"['chicago rap', 'melodic rap']",0.625,0.814,0,-5.181,1,0.0657,0.0172,0.0,0.158,0.535,4,0.85,3.42475,0.6208340500240216
5JCoSi02qi3jJeHdZXMmR8,113938103.0,favorite crime,2021-12-31,Olivia Rodrigo,['pop'],0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,4,0.88,2.54445,0.7865408454379921
748mdHapucXQri7IAO8yFK,113635625.0,Kiss Me More (feat. SZA),2021-06-24,Doja Cat,"['dance pop', 'pop']",0.762,0.701,8,-3.541,1,0.0286,0.235,0.000158,0.123,0.742,4,0.89,3.481116666666667,0.4190357000931204
37BZB0z9T8Xu7U3e65qxFy,113453197.0,Save Your Tears (with Ariana Grande) (Remix),2021-12-31,The Weeknd,"['canadian contemporary r&b', 'canadian pop', 'pop']",0.65,0.825,0,-4.645,1,0.0325,0.0215,2.44e-05,0.0936,0.593,4,0.92,3.1835666666666667,0.461283874756078
0PvFJmanyNQMseIFrU708S,111878961.0,For The Night (feat. Lil Baby & DaBaby),2021-12-31,Pop Smoke,['brooklyn drill'],0.823,0.586,6,-6.606,0,0.2,0.114,0.0,0.193,0.347,4,0.85,3.1746,0.5080219930130072
3Wrjm47oTz2sjIgck11l5e,107880197.0,Beggin',2021-12-31,MÃÂ¥neskin,"['indie rock italiano', 'italian pop']",0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,4,0.92,3.526,0.5556557274954183
4RVwu0g32PAqgUiJoXsdF8,107393804.0,Happier Than Ever,2021-12-31,Billie Eilish,"['art pop', 'electropop', 'pop']",0.332,0.225,0,-8.697,1,0.0348,0.767,0.00349,0.128,0.297,3,0.92,4.98165,0.241614718948511
6UelLqGlWMcVH1E5c4H7lY,107212696.0,Watermelon Sugar,2021-12-31,Harry Styles,['pop'],0.548,0.816,0,-4.209,1,0.0465,0.122,0.0,0.335,0.557,4,0.91,2.9,0.3266389480364652
2SAqBLGA283SUiwJ3xOUVI,103976009.0,Laugh Now Cry Later (feat. Lil Durk),2021-12-31,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.761,0.518,0,-8.871,1,0.134,0.244,3.47e-05,0.107,0.522,4,0.84,4.358216666666666,0.5555015154301034
4XvcHTUfIlWfyJTRG0aqlo,103181086.0,2055,2021-12-31,Sleepy Hallow,"['brooklyn drill', 'nyc rap']",0.829,0.512,6,-5.865,0,0.187,0.492,0.0,0.12,0.638,4,0.86,2.06645,0.238388128043464
6SRsiMl7w1USE4mFqrOhHC,102322484.0,brutal,2021-12-31,Olivia Rodrigo,['pop'],0.672,0.526,4,-6.446,1,0.0599,0.0311,1.37e-06,0.28,0.28,4,0.85,2.395783333333333,0.4963256009822122
3cBsEDNhFI9E82vPj3kvi3,101872156.0,Wasted On You,2021-12-31,Morgan Wallen,['contemporary country'],0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,3,0.8,2.9753333333333334,0.923380328471699
6Hj9jySrnFppAI0sEMCZpJ,101668016.0,Robbery,2021-12-31,Juice WRLD,"['chicago rap', 'melodic rap']",0.685,0.692,2,-5.122,1,0.0457,0.328,0.0,0.153,0.578,5,0.77,4.00085,0.7096542684120309
2tGvwE8GcFKwNdAXMnlbfl,101148256.0,happier,2021-12-31,Olivia Rodrigo,['pop'],0.395,0.443,6,-9.72,1,0.133,0.765,9.67e-06,0.0839,0.338,3,0.88,2.9322166666666667,0.7627862561462406
0ofHAoxe9vBkTCp2UQIavz,100995392.0,Dreams - 2004 Remaster,2021-12-31,Fleetwood Mac,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.828,0.492,0,-9.744,1,0.0276,0.0644,0.00428,0.128,0.789,4,0.86,4.296666666666667,0.4735022153156306
1tkg4EHVoqnhR6iFEXb60y,100513280.0,What You Know Bout Love,2021-12-31,Pop Smoke,['brooklyn drill'],0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,4,0.85,2.6666666666666665,0.2590525447956394
5E30LdtzQTGqRvNd7l6kG5,100236862.0,Daddy Issues,2021-12-31,The Neighbourhood,"['modern alternative rock', 'modern rock', 'pop']",0.588,0.521,10,-9.461,1,0.0329,0.0678,0.149,0.123,0.337,4,0.89,4.336216666666667,0.2650846090427582
6Uj1ctrBOjOas8xZXGqKk4,99796393.0,Woman,2021-12-31,Doja Cat,"['dance pop', 'pop']",0.824,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.117,0.881,4,0.95,2.8771166666666668,0.4014199372475519
5lAnYvAIkSDNXqfo7DyFUm,99379887.0,Ain't Shit,2021-12-31,Doja Cat,"['dance pop', 'pop']",0.855,0.488,3,-4.601,1,0.208,0.506,0.0,0.347,0.619,4,0.85,2.9042166666666667,0.4969068618437831
4xqrdfXkTW4T0RauPLv3WA,99307768.0,Heather,2021-12-31,Conan Gray,"['bedroom pop', 'pop']",0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,3,0.89,3.300666666666667,0.3663070362220417
7ytR5pFWmSjzHJIeQkgog4,99188752.0,ROCKSTAR (feat. Roddy Ricch),2021-10-30,DaBaby,"['north carolina hip hop', 'rap', 'trap']",0.746,0.69,11,-7.956,1,0.164,0.247,0.0,0.101,0.497,4,0.85,3.0288833333333334,0.2945331822845924
43PGPuHIlVOc04jrZVh9L6,99188288.0,RAPSTAR,2021-06-10,Polo G,['chicago rap'],0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,4,0.83,2.765433333333333,0.2415198192160096
0uxSUdBrJy9Un0EYoBowng,98100970.0,20 Min,2021-12-31,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",0.773,0.75,8,-4.009,0,0.117,0.109,0.0,0.174,0.783,4,0.87,3.67645,0.4929270043120066
0ZLuW8uOXdFNWcI40C0OC2,97196066.0,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",2021-12-30,Jack Harlow,"['deep underground hip hop', 'kentucky hip hop', 'rap']",0.904,0.723,11,-5.224,0,0.26,0.0631,0.0,0.185,0.835,4,0.76,3.7913,0.6209645371562109
4Oun2ylbjFKMPTiaSbbCih,95644006.0,WAP (feat. Megan Thee Stallion),2021-12-31,Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']",0.935,0.454,1,-7.509,1,0.375,0.0194,0.0,0.0824,0.357,4,0.85,3.1256833333333334,0.5501456117770569
003vvx7Niy0yvhvHt4a68B,94765108.0,Mr. Brightside,2021-12-31,The Killers,"['alternative rock', 'dance rock', 'modern rock', 'permanent wave', 'rock']",0.352,0.911,1,-5.23,1,0.0747,0.00121,0.0,0.0995,0.236,4,0.86,3.7162166666666665,0.6388768616658461
35mvY5S1H3J2QZyna3TFe0,94432999.0,positions,2021-10-13,Ariana Grande,"['dance pop', 'pop']",0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,4,0.88,2.8720833333333333,0.6150451663414374
2JPLbjOn0wPCngEot2STUS,94298747.0,Yonaguni,2021-12-31,Bad Bunny,"['latin', 'reggaeton', 'trap latino']",0.644,0.648,1,-4.601,1,0.118,0.276,0.0,0.135,0.44,4,0.94,3.4451666666666667,0.8281899655395347
4jPy3l0RUwlUI9T5XHBW2m,93704885.0,Mood (feat. iann dior),2021-12-31,24kGoldn,"['cali rap', 'pop rap']",0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,4,0.89,2.342216666666667,0.3006423525643687
3aQem4jVGdhtg116TmJnHz,93677191.0,WhatÃ¢ÂÂs Next,2021-09-15,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.781,0.594,0,-6.959,0,0.0485,0.0136,0.0,0.162,0.0628,4,0.8,2.9692333333333334,0.5312961524089704
6PQ88X9TkUIAUIZJHW2upE,93248002.0,Bad Habits,2021-10-28,Ed Sheeran,"['pop', 'uk pop']",0.808,0.897,11,-3.712,0,0.0348,0.0469,3.14e-05,0.364,0.591,4,0.62,3.8506833333333335,0.5083482108434807
45bE4HXI0AwGZXfZtMp8JR,92882711.0,you broke me first,2021-12-31,Tate McRae,"['alt z', 'dance pop', 'pop', 'post-teen pop']",0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,4,0.88,2.8211,0.4972093547411313
6IBcOGPsniK3Pso1wHIhew,92789194.0,Forever After All,2021-12-31,Luke Combs,"['contemporary country', 'country', 'country road']",0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,4,0.81,3.87555,0.6621925396947788
6Im9k8u9iIzKMrmV7BWtlF,92195147.0,34+35,2021-08-25,Ariana Grande,"['dance pop', 'pop']",0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,4,0.86,2.895183333333333,0.4131637791445975
27NovPIUIRrOZoCHxABJwK,92186037.0,INDUSTRY BABY (feat. Jack Harlow),2021-09-16,Lil Nas X,"['lgbtq+ hip hop', 'pop']",0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,4,0.95,3.533333333333333,0.6505139413638278
7qEHsqek33rTcFNT9PFqLf,91723613.0,Someone You Loved,2021-12-31,Lewis Capaldi,"['pop', 'uk pop']",0.501,0.405,1,-5.679,1,0.0319,0.751,0.0,0.105,0.446,4,0.89,3.036016666666667,0.4126477618491213
7FGdjbZ32vMybPuP0IuE7d,91140577.0,Back In Blood (feat. Lil Durk),2021-12-31,Pooh Shiesty,"['memphis hip hop', 'rap', 'southern hip hop', 'tennessee hip hop', 'trap']",0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,4,0.75,3.0748333333333333,0.6323525050563763
0MMyJUC3WNnFS1lit5pTjk,91024740.0,"jealousy, jealousy",2021-12-31,Olivia Rodrigo,['pop'],0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,4,0.87,2.886,0.7331597459059662
6gBFPUFcJLzWGx4lenP6h2,90256691.0,goosebumps,2021-12-31,Travis Scott,"['rap', 'slap house']",0.841,0.728,7,-3.37,1,0.0484,0.0847,0.0,0.149,0.43,4,0.88,4.06395,0.5322095623342963
0rKtyWc8bvkriBthvHKY8d,89565833.0,SLOW DANCING IN THE DARK,2021-12-31,Joji,"['alternative r&b', 'viral pop']",0.515,0.479,3,-7.458,1,0.0261,0.544,0.00598,0.191,0.284,4,0.86,3.4879,0.2885248429705989
6foY66mWZN0pSRjZ408c00,89073588.0,Whiskey Glasses,2021-12-31,Morgan Wallen,['contemporary country'],0.614,0.68,6,-4.58,1,0.0289,0.369,1.84e-06,0.115,0.707,4,0.81,3.905783333333333,0.6503004169656997
3J8EOeKLTLXORtWPpOU5bE,87891905.0,Calling My Phone,2021-12-31,"Lil Tjay, 6LACK","['brooklyn drill', 'melodic rap', 'nyc rap']",0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,4,0.85,3.4243,0.3833356069727578
7m9OqQk4RVRkw9JJdeAw96,86982762.0,Jocelyn Flores,2021-12-31,XXXTENTACION,"['emo rap', 'miami hip hop']",0.872,0.391,0,-9.144,0,0.242,0.469,4.13e-06,0.297,0.437,4,0.88,1.98555,0.5557684209277635
7EkWXAI1wn8Ii883ecd9xr,86558014.0,Freaks,2021-12-31,Surf Curse,"['dreamo', 'indie surf', 'surf punk', 'vegas indie']",0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,4,0.9,2.451033333333333,0.8262623147231005
2GiJYvgVaD2HtM8GqD9EgQ,85848125.0,Electric Love,2021-12-31,BÃÂRNS,"['modern alternative rock', 'modern rock', 'pop']",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,4,0.86,3.6351166666666654,0.4728497796546836
0k4d5YPDr1r7FX77VdqWez,84477076.0,You Right,2021-12-31,"Doja Cat, The Weeknd","['dance pop', 'pop']",0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,4,0.89,3.102883333333333,0.5259046613562358
7GX5flRQZVHRAGd6B4TmDO,84188911.0,XO Tour Llif3,2021-12-31,Lil Uzi Vert,"['melodic rap', 'philly rap', 'rap', 'trap']",0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,4,0.86,3.0451166666666665,0.6807691623319237
40iJIUlhi6renaREYGeIDS,83337013.0,Fair Trade (with Travis Scott),2021-12-31,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.666,0.465,1,-8.545,1,0.26,0.0503,0.0,0.215,0.292,4,0.88,4.852916666666666,0.7569321288975618
3VT8hOC5vuDXBsHrR53WFh,82390135.0,Astronaut In The Ocean,2021-06-15,Masked Wolf,['australian hip hop'],0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,4,0.62,2.213,0.6505198725971092
22LAwLoDA5b4AaGSkg6bKW,82161158.0,Blueberry Faygo,2021-11-20,Lil Mosey,"['melodic rap', 'rap', 'rap conscient', 'trap', 'vapor trap']",0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,4,0.8,2.7091166666666666,0.3482523621136543
51pshtuYkgUQnt5huMPbKL,80634737.0,The Spins,2021-12-31,Mac Miller,"['hip hop', 'pittsburgh rap', 'rap']",0.794,0.766,9,-3.894,0,0.0377,0.0135,0.0,0.0785,0.55,4,0.85,3.26455,0.5141667506924715
7nc7mlSdWYeFom84zZ8Wr8,79758753.0,Tell Em,2021-12-31,"Cochise, $NOT","['plugg', 'pluggnb']",0.672,0.717,5,-7.476,1,0.226,0.103,0.0,0.398,0.473,4,0.87,3.006333333333333,0.697429996619197
0W6I02J9xcqK8MtSeosEXb,78860983.0,Get Into It (Yuh),2021-12-31,Doja Cat,"['dance pop', 'pop']",0.912,0.655,8,-6.029,0,0.162,0.315,3.39e-05,0.0894,0.793,4,0.88,2.304883333333333,0.306188055682418
58ge6dfP91o9oXMzq3XkIS,76838609.0,505,2021-12-31,Arctic Monkeys,"['garage rock', 'permanent wave', 'rock', 'sheffield indie']",0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79e-05,0.0733,0.234,4,0.84,4.22645,0.5928149040029893
5uEYRdEIh9Bo4fpjDd4Na9,75462580.0,Goosebumps - Remix,2021-08-19,"Travis Scott, HVME","['rap', 'slap house']",0.841,0.593,1,-7.846,1,0.0379,0.418,0.0,0.124,0.808,4,0.86,2.7133833333333333,0.5017704731344789
07MDkzWARZaLEdKxo6yArG,75047417.0,Meet Me At Our Spot,2021-12-31,"THE ANXIETY, WILLOW, Tyler Cole",['modern alternative pop'],0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,4,0.9,2.711333333333333,0.3242961108903374
0nbXyq5TXYPCO7pr3N8S4I,74404500.0,The Box,2021-12-27,Roddy Ricch,"['melodic rap', 'rap', 'trap']",0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,4,0.85,3.27755,0.4546408934809815
1D3z6HTiQsNmZxjl7F7eoG,74102036.0,m y . l i f e (with 21 Savage & Morray),2021-11-10,J. Cole,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",0.597,0.587,7,-7.026,0,0.137,0.0622,0.0,0.214,0.0753,4,0.82,3.6467,0.5913558206157806
3QFInJAm9eyaho5vBzxInN,73488584.0,family ties (with Kendrick Lamar),2021-12-31,Baby Keem,"['hip hop', 'rap']",0.711,0.611,1,-5.453,1,0.33,0.00588,0.0,0.23,0.144,4,0.82,4.204366666666667,0.5561954697240197
5zNW5ARjYhJQJz1AChP33n,72209335.0,Thot Shit,2021-10-29,Megan Thee Stallion,"['dance pop', 'houston rap', 'pop', 'trap queen']",0.95,0.693,9,-3.424,1,0.0898,0.0133,0.0,0.173,0.891,4,0.79,3.07725,0.5320375565691375
20BOju91NaEFK5Py4VJ2pp,72158662.0,Best Friend (feat. Doja Cat),2021-12-31,Saweetie,"['cali rap', 'dance pop', 'pop', 'pop rap', 'trap queen']",0.84,0.766,4,-4.12,1,0.136,0.00302,3.61e-06,0.0684,0.402,4,0.75,2.5980666666666665,0.3185012959744719
37y7iDayfwm3WXn5BiAoRk,70725085.0,Dark Red,2021-12-31,Steve Lacy,['afrofuturism'],0.603,0.783,6,-4.023,1,0.062,0.449,7.96e-06,0.119,0.775,4,0.91,2.8850666666666664,0.7812739102841653
78QR3Wp35dqAhFEc2qAGjE,69567870.0,Drip Too Hard (Lil Baby & Gunna),2021-12-31,Lil Baby,"['atl hip hop', 'atl trap', 'rap', 'trap']",0.897,0.662,1,-6.903,0,0.292,0.0852,0.0,0.534,0.389,4,0.85,2.4257166666666667,0.428187593046222
0GO8y8jQk1PkHzS31d699N,69557015.0,Tongue Tied,2021-10-24,Grouplove,"['indie rock', 'indietronica', 'la indie', 'modern alternative rock', 'modern rock', 'pop rock', 'rock', 'stomp and holler']",0.56,0.936,3,-5.835,1,0.0439,0.00847,0.0,0.161,0.371,4,0.83,3.63355,0.430850716789542
37Nqx7iavZpotJSDXZWbJ3,69364562.0,Girls Want Girls (with Lil Baby),2021-12-31,Drake,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']",0.767,0.438,7,-8.726,0,0.29,0.181,0.0,0.142,0.381,4,0.85,3.699666666666667,0.2767276199740212
